ACD;Alta Cordoba
ALV;Alvarez Thomas
BAL;Villa Ballester
BEL;Belgrano
BEV;Bell Ville
CDG;Canada de Gomez
CDN;Cordoba Norte
CEN;Cordoba Centro
CLI;Clinicas
COS;Costanera
CSL;Casilda
CTE;Corrientes
CTM;Catamarca
CTR;Rosario Centro
ELD;EL Dorado
FOR;Formosa
GOY;Goya
LAF;Carlos Paz
LAY;Laboulaye
LOP;Vicente Lopez
LRI;La Rioja
MON;Paso de los Libres
OBE;Obera
PAR;Parana
PLR;Palermo
POS;Posadas
PRE;Equipo Sur 
PRS;Roque Saenz Peqa
PUE;Villa Pueyrredon
RCQ;Reconquista
RCU;Rio Cuarto
RES;Resistencia
RFL;Rafaela
RSN;Rosario Norte
SAM;San Martin
SDE;Santiago del Estero
SFE;Santa Fe AM
SFS;San Francisco
SIS;San Isidro
SLT;Salta
SNC;San Nicolas
SSJ;San Salvador de Jujuy
STO;Santo Tome
SUR;Rosario Sur
TMN;Tucuman
VMI;Villa Maria
VTO;Venado Tuerto
ZAR;Zarate
